Id,Gender,financial_issues,family_issues,study_hours,health_issues,friends_issues,friends_time,overload,unpleasant,academic,career,criticism,conflicts,stress_level
60,Female,Repay Loan Issues;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,1,Malnutrition;Insomnia (Sleep Deprivation);Lonliness,Comparison between them;Mistrust,3,Yes,Yes,No,Yes,No,No,Stressed
61,Female,Repay Loan Issues,Parental Expectations;Negligence of Children,2,Covid;Anxiety or Tension,Jealousy;Mistrust,3,Yes,No,No,Yes,No,No,Stressed
62,Female,Deadline of Fee payment,Being bullied by siblings;Negligence of Children,2,Insomnia (Sleep Deprivation);Lonliness,Jealousy;Betrayal,3,Yes,No,No,No,Yes,Yes,Stressed
63,Male,Repay Loan Issues,Divorce of Parents,1,Covid;Lonliness,Jealousy;Betrayal,2,Yes,Yes,Yes,Yes,No,No,Stressed
64,Female,Repay Loan Issues;Payment for Hostel,Divorce of Parents;Negligence of Children,3,Covid;Low Energy;Sleeping Problem,Comparison between them;Jealousy,2,No,No,Yes,Yes,No,Yes,Stressed
65,Male,Repay Loan Issues,Being bullied by siblings;Negligence of Children,2,Sinus or Migraine or Headaches;Anxiety or Tension;Sleeping Problem,Conflicts,6,No,Yes,No,No,Yes,No,Stressed
66,Male,Repay Loan Issues;Payment for Hostel,Parental Expectations,2,Insomnia (Sleep Deprivation);Lonliness,Jealousy,4,Yes,Yes,No,No,Yes,No,Stressed
67,Male,Repay Loan Issues,Parental Expectations;Negligence of Children,2,Malnutrition;Insomnia (Sleep Deprivation);Sleeping Problem,Jealousy,3,Yes,No,Yes,Yes,No,No,Stressed
68,Male,Deadline of Fee payment,Parental Expectations,1,Anxiety or Tension;Lonliness;Concentration Problem,Comparison between them;Jealousy,3,No,Yes,Yes,Yes,Yes,No,Highly Stressed
69,Male,Deadline of Fee payment,Parental Expectations,2,Lonliness,None,4,No,No,No,Yes,No,Yes,Highly Stressed
70,Male,Repay Loan Issues,Parental Expectations,8,Anxiety or Tension,Conflicts,1,Yes,Yes,No,Yes,Yes,Yes,Highly Stressed
71,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations,2,Sleeping Problem;Concentration Problem,Mistrust,6,No,Yes,Yes,Yes,No,Yes,Highly Stressed
72,Male,Deadline of Fee payment,Parental Expectations;Internal family dispute ,7,Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Conflicts;Comparison between them;Jealousy,1,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
73,Male,Repay Loan Issues;Deadline of Fee payment,Poor Communication and misunderstandings,10,Low Energy,Betrayal,10,No,No,Yes,Yes,Yes,Yes,Highly Stressed
74,Female,Repay Loan Issues;Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents;Negligence of Children,8,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Low Energy;Lonliness;Sleeping Problem;Concentration Problem,Conflicts;Comparison between them;Jealousy;Mistrust;Betrayal,6,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
75,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,3,Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness;Concentration Problem,Jealousy;Mistrust;Betrayal,1,Yes,Yes,No,No,Yes,Yes,Highly Stressed
76,Female,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Negligence of Children,0,Covid;Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem;Concentration Problem,Comparison between them;Jealousy;Mistrust,6,No,No,Yes,Yes,Yes,Yes,Highly Stressed
77,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,10,Covid;Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Conflicts;Jealousy;Betrayal,1,Yes,Yes,No,Yes,No,Yes,Highly Stressed
78,Female,Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,1,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Conflicts;Jealousy,2,No,Yes,Yes,Yes,Yes,Yes,Highly Stressed
79,Female,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Sleeping Problem,Mistrust;Betrayal,3,Yes,Yes,Yes,No,Yes,Yes,Highly Stressed
80,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,3,Low Energy;Lonliness,Comparison between them;Jealousy,2,No,Yes,Yes,Yes,Yes,No,Highly Stressed
81,Male,Payment for Hostel,Parental Expectations;Being bullied by siblings;Poor Communication and misunderstandings,7,Covid;Low Energy;Concentration Problem,Conflicts;Mistrust,2,Yes,No,No,Yes,Yes,Yes,Highly Stressed
82,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Negligence of Children,5,Sinus or Migraine or Headaches;Low Energy;Anxiety or Tension,Comparison between them;Betrayal,4,Yes,Yes,Yes,Yes,No,Yes,Highly Stressed
83,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,4,Covid;Low Energy;Lonliness,Jealousy;Mistrust,1,No,Yes,Yes,Yes,Yes,No,Highly Stressed
84,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,8,Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Comparison between them;Jealousy,3,Yes,Yes,No,Yes,Yes,No,Highly Stressed
85,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Lonliness,Jealousy;Betrayal,5,Yes,Yes,Yes,No,Yes,No,Highly Stressed
86,Male,Repay Loan Issues,Being bullied by siblings;Poor Communication and misunderstandings,4,Covid;Anxiety or Tension,Comparison between them;Jealousy;Betrayal,3,No,Yes,No,Yes,No,Yes,Highly Stressed
87,Female,Deadline of Fee payment,Divorce of Parents;Negligence of Children,3,Insomnia (Sleep Deprivation);Low Energy,Comparison between them,3,No,No,Yes,Yes,Yes,Yes,Highly Stressed
88,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,1,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Conflicts;Comparison between them;Mistrust,1,Yes,Yes,Yes,No,No,Yes,Highly Stressed
89,Female,Repay Loan Issues;Deadline of Fee payment,Poor Communication and misunderstandings,2,Malnutrition;Covid;Low Energy,Comparison between them;Mistrust;Betrayal,4,Yes,Yes,Yes,Yes,No,No,Highly Stressed
90,Female,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents,4,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Lonliness;Concentration Problem,Conflicts;Jealousy;Mistrust,5,Yes,Yes,Yes,Yes,Yes,No,Highly Stressed
91,Female,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents,4,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Lonliness;Concentration Problem,Conflicts;Jealousy;Mistrust,5,Yes,Yes,Yes,Yes,Yes,No,Highly Stressed
92,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Negligence of Children,4,Covid;Low Energy;Anxiety or Tension,Conflicts;Comparison between them;Betrayal,3,Yes,Yes,No,Yes,Yes,No,Highly Stressed
93,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,2,Covid;Insomnia (Sleep Deprivation);Low Energy;Sleeping Problem,Jealousy;Mistrust,2,No,Yes,Yes,No,Yes,Yes,Highly Stressed
94,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,4,Covid;Anxiety or Tension;Concentration Problem,Jealousy;Mistrust,4,Yes,Yes,No,No,Yes,Yes,Highly Stressed
95,Female,Deadline of Fee payment,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,3,Low Energy;Lonliness;Sleeping Problem,Comparison between them;Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,No,No,Highly Stressed
96,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Low Energy;Sleeping Problem,Comparison between them;Jealousy;Betrayal,1,Yes,No,No,No,Yes,Yes,Highly Stressed
97,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Poor Communication and misunderstandings,2,Covid;Low Energy;Lonliness;Sleeping Problem,Comparison between them;Jealousy;Mistrust,3,Yes,Yes,Yes,No,No,Yes,Highly Stressed
98,Male,Deadline of Fee payment,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,2,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Low Energy,Conflicts;Comparison between them;Jealousy,1,Yes,Yes,No,No,Yes,Yes,Highly Stressed
99,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents,2,Malnutrition;Anxiety or Tension,Comparison between them;Betrayal,2,Yes,Yes,Yes,No,No,No,Highly Stressed
100,Male,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,2,Low Energy;Lonliness;Concentration Problem,Comparison between them;Jealousy,3,Yes,Yes,No,Yes,Yes,Yes,Highly Stressed
101,Male,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Covid;Low Energy;Anxiety or Tension,Comparison between them;Mistrust;Betrayal,4,No,No,Yes,Yes,Yes,Yes,Highly Stressed
102,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,0,Covid;Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Comparison between them;Jealousy;Mistrust;Betrayal,1,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
103,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,1,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Concentration Problem,Comparison between them;Mistrust,1,No,Yes,Yes,No,Yes,No,Highly Stressed
104,Male,Repay Loan Issues,Parental Expectations,1,Malnutrition;Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness,Betrayal,1,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
105,Male,Repay Loan Issues;Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,1,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Low Energy;Lonliness,Conflicts;Jealousy;Mistrust;Betrayal,1,Yes,Yes,Yes,No,Yes,No,Highly Stressed
106,Male,Repay Loan Issues;Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings,0,Covid;Insomnia (Sleep Deprivation),Conflicts;Comparison between them;Jealousy,2,Yes,Yes,Yes,Yes,No,No,Highly Stressed
107,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,5,Sinus or Migraine or Headaches;Covid;Anxiety or Tension,Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
108,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,2,Covid;Low Energy;Concentration Problem,Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
109,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,2,Covid;Low Energy;Sleeping Problem,Comparison between them;Mistrust,3,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
110,Female,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,3,Covid;Anxiety or Tension;Concentration Problem,Conflicts,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
111,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,4,Covid;Low Energy;Sleeping Problem,Comparison between them;Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
112,Male,Repay Loan Issues;Payment for Hostel,Parental Expectations;Poor Communication and misunderstandings;Negligence of Children,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Lonliness,Comparison between them;Jealousy,1,Yes,Yes,No,No,No,Yes,Highly Stressed
113,Female,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Negligence of Children,2,Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness,Comparison between them;Mistrust;Betrayal,1,Yes,Yes,Yes,Yes,Yes,No,Highly Stressed
114,Male,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Low Energy;Anxiety or Tension,Comparison between them;Betrayal,3,Yes,Yes,Yes,No,Yes,Yes,Highly Stressed
115,Female,Deadline of Fee payment,Parental Expectations;Divorce of Parents;Negligence of Children,10,Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Jealousy;Betrayal,2,Yes,Yes,Yes,No,Yes,Yes,Highly Stressed
116,Female,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Poor Communication and misunderstandings,9,Covid;Anxiety or Tension;Sleeping Problem,Comparison between them;Jealousy;Betrayal,1,Yes,Yes,Yes,No,No,Yes,Highly Stressed
117,Female,Repay Loan Issues;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,7,Covid;Lonliness;Sleeping Problem,Conflicts;Mistrust,3,Yes,Yes,Yes,Yes,No,Yes,Highly Stressed
118,Male,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Negligence of Children,0,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Sleeping Problem,Comparison between them;Mistrust,10,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
119,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Negligence of Children,2,Sinus or Migraine or Headaches;Low Energy;Lonliness,Conflicts;Comparison between them;Mistrust,10,Yes,Yes,Yes,No,No,Yes,Highly Stressed
120,Female,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,2,Sinus or Migraine or Headaches;Low Energy;Sleeping Problem,Conflicts;Mistrust,4,Yes,No,Yes,Yes,No,No,Highly Stressed
121,Female,Payment for Hostel,Being bullied by siblings;Negligence of Children,10,Covid;Anxiety or Tension;Concentration Problem,Comparison between them;Jealousy,10,Yes,Yes,Yes,No,Yes,Yes,Highly Stressed
